,0,1,2,3,4,5,Xt
0,6700.0,6875.0,6400.0,6250.0,6650.0,6600.0,6625.0
1,6875.0,6400.0,6250.0,6650.0,6600.0,6625.0,6625.0
2,6400.0,6250.0,6650.0,6600.0,6625.0,6625.0,6625.0
3,6250.0,6650.0,6600.0,6625.0,6625.0,6625.0,6800.0
4,6650.0,6600.0,6625.0,6625.0,6625.0,6800.0,6750.0
5,6600.0,6625.0,6625.0,6625.0,6800.0,6750.0,6550.0
6,6625.0,6625.0,6625.0,6800.0,6750.0,6550.0,6325.0
7,6625.0,6625.0,6800.0,6750.0,6550.0,6325.0,6250.0
8,6625.0,6800.0,6750.0,6550.0,6325.0,6250.0,6275.0
9,6800.0,6750.0,6550.0,6325.0,6250.0,6275.0,6400.0
10,6750.0,6550.0,6325.0,6250.0,6275.0,6400.0,6450.0
11,6550.0,6325.0,6250.0,6275.0,6400.0,6450.0,6325.0
12,6325.0,6250.0,6275.0,6400.0,6450.0,6325.0,6400.0
13,6250.0,6275.0,6400.0,6450.0,6325.0,6400.0,6500.0
14,6275.0,6400.0,6450.0,6325.0,6400.0,6500.0,6350.0
15,6400.0,6450.0,6325.0,6400.0,6500.0,6350.0,6225.0
16,6450.0,6325.0,6400.0,6500.0,6350.0,6225.0,6100.0
17,6325.0,6400.0,6500.0,6350.0,6225.0,6100.0,6075.0
18,6400.0,6500.0,6350.0,6225.0,6100.0,6075.0,6225.0
19,6500.0,6350.0,6225.0,6100.0,6075.0,6225.0,6400.0
20,6350.0,6225.0,6100.0,6075.0,6225.0,6400.0,6500.0
21,6225.0,6100.0,6075.0,6225.0,6400.0,6500.0,6450.0
22,6100.0,6075.0,6225.0,6400.0,6500.0,6450.0,6550.0
23,6075.0,6225.0,6400.0,6500.0,6450.0,6550.0,6325.0
24,6225.0,6400.0,6500.0,6450.0,6550.0,6325.0,6500.0
25,6400.0,6500.0,6450.0,6550.0,6325.0,6500.0,6525.0
26,6500.0,6450.0,6550.0,6325.0,6500.0,6525.0,6675.0
27,6450.0,6550.0,6325.0,6500.0,6525.0,6675.0,6775.0
28,6550.0,6325.0,6500.0,6525.0,6675.0,6775.0,6800.0
29,6325.0,6500.0,6525.0,6675.0,6775.0,6800.0,7200.0
30,6500.0,6525.0,6675.0,6775.0,6800.0,7200.0,7150.0
31,6525.0,6675.0,6775.0,6800.0,7200.0,7150.0,7200.0
32,6675.0,6775.0,6800.0,7200.0,7150.0,7200.0,7200.0
33,6775.0,6800.0,7200.0,7150.0,7200.0,7200.0,7100.0
34,6800.0,7200.0,7150.0,7200.0,7200.0,7100.0,7125.0
35,7200.0,7150.0,7200.0,7200.0,7100.0,7125.0,7175.0
36,7150.0,7200.0,7200.0,7100.0,7125.0,7175.0,7350.0
37,7200.0,7200.0,7100.0,7125.0,7175.0,7350.0,7325.0
38,7200.0,7100.0,7125.0,7175.0,7350.0,7325.0,7325.0
39,7100.0,7125.0,7175.0,7350.0,7325.0,7325.0,7325.0
40,7125.0,7175.0,7350.0,7325.0,7325.0,7325.0,7525.0
41,7175.0,7350.0,7325.0,7325.0,7325.0,7525.0,7200.0
42,7350.0,7325.0,7325.0,7325.0,7525.0,7200.0,7250.0
43,7325.0,7325.0,7325.0,7525.0,7200.0,7250.0,7225.0
44,7325.0,7325.0,7525.0,7200.0,7250.0,7225.0,7225.0
45,7325.0,7525.0,7200.0,7250.0,7225.0,7225.0,7200.0
46,7525.0,7200.0,7250.0,7225.0,7225.0,7200.0,7000.0
47,7200.0,7250.0,7225.0,7225.0,7200.0,7000.0,7225.0
48,7250.0,7225.0,7225.0,7200.0,7000.0,7225.0,7175.0
49,7225.0,7225.0,7200.0,7000.0,7225.0,7175.0,7125.0
50,7225.0,7200.0,7000.0,7225.0,7175.0,7125.0,7075.0
51,7200.0,7000.0,7225.0,7175.0,7125.0,7075.0,7100.0
52,7000.0,7225.0,7175.0,7125.0,7075.0,7100.0,7200.0
53,7225.0,7175.0,7125.0,7075.0,7100.0,7200.0,6950.0
54,7175.0,7125.0,7075.0,7100.0,7200.0,6950.0,7200.0
55,7125.0,7075.0,7100.0,7200.0,6950.0,7200.0,7175.0
56,7075.0,7100.0,7200.0,6950.0,7200.0,7175.0,7200.0
57,7100.0,7200.0,6950.0,7200.0,7175.0,7200.0,7300.0
58,7200.0,6950.0,7200.0,7175.0,7200.0,7300.0,7125.0
59,6950.0,7200.0,7175.0,7200.0,7300.0,7125.0,7175.0
60,7200.0,7175.0,7200.0,7300.0,7125.0,7175.0,7050.0
61,7175.0,7200.0,7300.0,7125.0,7175.0,7050.0,7175.0
62,7200.0,7300.0,7125.0,7175.0,7050.0,7175.0,7025.0
63,7300.0,7125.0,7175.0,7050.0,7175.0,7025.0,6925.0
64,7125.0,7175.0,7050.0,7175.0,7025.0,6925.0,7200.0
65,7175.0,7050.0,7175.0,7025.0,6925.0,7200.0,7350.0
66,7050.0,7175.0,7025.0,6925.0,7200.0,7350.0,7475.0
67,7175.0,7025.0,6925.0,7200.0,7350.0,7475.0,7450.0
68,7025.0,6925.0,7200.0,7350.0,7475.0,7450.0,7300.0
69,6925.0,7200.0,7350.0,7475.0,7450.0,7300.0,7350.0
70,7200.0,7350.0,7475.0,7450.0,7300.0,7350.0,7250.0
71,7350.0,7475.0,7450.0,7300.0,7350.0,7250.0,7400.0
72,7475.0,7450.0,7300.0,7350.0,7250.0,7400.0,7275.0
73,7450.0,7300.0,7350.0,7250.0,7400.0,7275.0,7100.0
74,7300.0,7350.0,7250.0,7400.0,7275.0,7100.0,7075.0
75,7350.0,7250.0,7400.0,7275.0,7100.0,7075.0,6825.0
76,7250.0,7400.0,7275.0,7100.0,7075.0,6825.0,6850.0
77,7400.0,7275.0,7100.0,7075.0,6825.0,6850.0,6850.0
78,7275.0,7100.0,7075.0,6825.0,6850.0,6850.0,6875.0
79,7100.0,7075.0,6825.0,6850.0,6850.0,6875.0,6600.0
80,7075.0,6825.0,6850.0,6850.0,6875.0,6600.0,6275.0
81,6825.0,6850.0,6850.0,6875.0,6600.0,6275.0,6300.0
82,6850.0,6850.0,6875.0,6600.0,6275.0,6300.0,6325.0
83,6850.0,6875.0,6600.0,6275.0,6300.0,6325.0,6325.0
84,6875.0,6600.0,6275.0,6300.0,6325.0,6325.0,6425.0
85,6600.0,6275.0,6300.0,6325.0,6325.0,6425.0,6500.0
86,6275.0,6300.0,6325.0,6325.0,6425.0,6500.0,6550.0
87,6300.0,6325.0,6325.0,6425.0,6500.0,6550.0,6650.0
88,6325.0,6325.0,6425.0,6500.0,6550.0,6650.0,6425.0
89,6325.0,6425.0,6500.0,6550.0,6650.0,6425.0,6375.0
90,6425.0,6500.0,6550.0,6650.0,6425.0,6375.0,6350.0
91,6500.0,6550.0,6650.0,6425.0,6375.0,6350.0,6775.0
92,6550.0,6650.0,6425.0,6375.0,6350.0,6775.0,6925.0
93,6650.0,6425.0,6375.0,6350.0,6775.0,6925.0,6925.0
94,6425.0,6375.0,6350.0,6775.0,6925.0,6925.0,6825.0
95,6375.0,6350.0,6775.0,6925.0,6925.0,6825.0,6700.0
96,6350.0,6775.0,6925.0,6925.0,6825.0,6700.0,6800.0
97,6775.0,6925.0,6925.0,6825.0,6700.0,6800.0,6675.0
98,6925.0,6925.0,6825.0,6700.0,6800.0,6675.0,6550.0
99,6925.0,6825.0,6700.0,6800.0,6675.0,6550.0,6625.0
100,6825.0,6700.0,6800.0,6675.0,6550.0,6625.0,6750.0
101,6700.0,6800.0,6675.0,6550.0,6625.0,6750.0,6575.0
102,6800.0,6675.0,6550.0,6625.0,6750.0,6575.0,6550.0
103,6675.0,6550.0,6625.0,6750.0,6575.0,6550.0,6400.0
104,6550.0,6625.0,6750.0,6575.0,6550.0,6400.0,6300.0
105,6625.0,6750.0,6575.0,6550.0,6400.0,6300.0,6300.0
106,6750.0,6575.0,6550.0,6400.0,6300.0,6300.0,6300.0
107,6575.0,6550.0,6400.0,6300.0,6300.0,6300.0,6275.0
108,6550.0,6400.0,6300.0,6300.0,6300.0,6275.0,6225.0
109,6400.0,6300.0,6300.0,6300.0,6275.0,6225.0,6250.0
110,6300.0,6300.0,6300.0,6275.0,6225.0,6250.0,6050.0
111,6300.0,6300.0,6275.0,6225.0,6250.0,6050.0,5925.0
112,6300.0,6275.0,6225.0,6250.0,6050.0,5925.0,5925.0
113,6275.0,6225.0,6250.0,6050.0,5925.0,5925.0,5950.0
114,6225.0,6250.0,6050.0,5925.0,5925.0,5950.0,5850.0
115,6250.0,6050.0,5925.0,5925.0,5950.0,5850.0,5875.0
116,6050.0,5925.0,5925.0,5950.0,5850.0,5875.0,6000.0
117,5925.0,5925.0,5950.0,5850.0,5875.0,6000.0,5825.0
