,Fitur,Test_Size,K Neighbors,Nilai Error MSE,Nilai Error MAPE
0,1,0.1,3,0.0534933237157079,0.1917555829984108
1,1,0.1,5,0.06877890117663168,0.22056762609001948
2,1,0.1,7,0.07391951294673262,0.22898195415908787
3,1,0.1,9,0.07506109443337813,0.231025644962821
4,1,0.1,11,0.07092358974957372,0.22426297363702152
5,1,0.1,13,0.06623955869477811,0.21652924770660237
6,2,0.1,3,0.04138136665134043,0.16843462989835403
7,2,0.1,5,0.05529149028269369,0.1958240005756155
8,2,0.1,7,0.0486494312431652,0.18259411054807936
9,2,0.1,9,0.05414585577733845,0.1937751764840236
10,2,0.1,11,0.0576201322347063,0.20047019912350825
11,2,0.1,13,0.06132839466320915,0.20711483438314252
12,3,0.1,3,0.038884610262996847,0.16303012490104524
13,3,0.1,5,0.04069780224295807,0.1636429314785718
14,3,0.1,7,0.04422411415813342,0.17180109562673643
15,3,0.1,9,0.050462566589052245,0.18482087961656582
16,3,0.1,11,0.06021063260578401,0.20466460086927107
17,3,0.1,13,0.06352684136650326,0.21106236073272275
18,4,0.1,3,0.03902886565811239,0.16326631165402333
19,4,0.1,5,0.04463947710770312,0.17227258236561888
20,4,0.1,7,0.045812246202711814,0.17355099984706804
21,4,0.1,9,0.04911429877817531,0.182393273768737
22,4,0.1,11,0.05221567388079134,0.18883965199955105
23,4,0.1,13,0.05304524801320935,0.19109739503105336
24,5,0.1,3,0.0178906214915389,0.10562111678002147
25,5,0.1,5,0.025972571486371172,0.12415115415511213
26,5,0.1,7,0.0314070031910421,0.13884488747945328
27,5,0.1,9,0.039569026080826006,0.15928727812497628
28,5,0.1,11,0.04496050293281463,0.17242942511014273
29,5,0.1,13,0.04630190051040594,0.1748306000350934
30,6,0.1,3,0.0164734714482647,0.0975272255778272
31,6,0.1,5,0.021253758868401234,0.11242573405150783
32,6,0.1,7,0.02975677877984046,0.13650593601600627
33,6,0.1,9,0.03930843257393722,0.1576952472523446
34,6,0.1,11,0.04484127611654689,0.17317836104707962
35,6,0.1,13,0.04855883609379287,0.18063080450226185
36,7,0.1,3,0.013250947667080895,0.08546719692160118
37,7,0.1,5,0.020856565096884237,0.11266272094470138
38,7,0.1,7,0.030488222436311465,0.14020853279954756
39,7,0.1,9,0.038331465535028156,0.15886175577519782
40,7,0.1,11,0.044681711472562675,0.17360312394778177
41,7,0.1,13,0.04839535656567146,0.18116878307682036
42,1,0.2,3,0.06635512936678505,0.19333055400119678
43,1,0.2,5,0.0712873626497223,0.19678304044487702
44,1,0.2,7,0.0645751210539422,0.1872703800765341
45,1,0.2,9,0.06320283364660564,0.1857382081350598
46,1,0.2,11,0.06343209675344173,0.18568323715419816
47,1,0.2,13,0.06957030443563622,0.19468531369456796
48,2,0.2,3,0.06800955678726407,0.18897204870215814
49,2,0.2,5,0.0628423417109553,0.1839776408615465
50,2,0.2,7,0.06124470448180377,0.18189907998271465
51,2,0.2,9,0.05943398439183074,0.17719031660350984
52,2,0.2,11,0.05785350774002509,0.17484762246702504
53,2,0.2,13,0.05381812693118227,0.16975781078242708
54,3,0.2,3,0.07437052550027938,0.20054073213863408
55,3,0.2,5,0.06739183131835363,0.18985891425033746
56,3,0.2,7,0.061661485774972935,0.18147868559915997
57,3,0.2,9,0.05501362256012778,0.17169235698402766
58,3,0.2,11,0.05270712216772757,0.16827123901218125
59,3,0.2,13,0.054327719266756294,0.17112524964298043
60,4,0.2,3,0.05569311001586094,0.170317324548966
61,4,0.2,5,0.04781042968223161,0.160727618255196
62,4,0.2,7,0.046492838661429746,0.1589324447403331
63,4,0.2,9,0.04921274878051423,0.16270059797050374
