,Transform,Test_Size,MAPE_MLP,MAPE_Decision,MAPE_Bayes
0,1,0.1,1.3071337106424768e+18,1.3781014859753718e+18,1.5582026632662702e+18
1,1,0.2,6.628673847735013e+17,6.485183463413514e+17,7.764348383528677e+17
2,1,0.3,4.403430814123677e+17,4.323455642275676e+17,5.175743885892899e+17
3,1,0.4,3.365955949535954e+17,3.275345183542179e+17,3.9211649254812e+17
4,2,0.1,1.5632178327147845e+18,1.3961158844848538e+18,1.558215135342306e+18
5,2,0.2,7.795018849246552e+17,6.485183463413514e+17,7.764157212470636e+17
6,2,0.3,5.2706787151386355e+17,4.3818807185226445e+17,5.2447510442276634e+17
7,2,0.4,3.93318643894114e+17,3.275345183542179e+17,3.920711289850265e+17
8,3,0.1,1.8013863525194253e+18,1.3961158844848538e+18,1.5594251491980751e+18
9,3,0.2,9.373573183219557e+17,6.617534146340321e+17,7.936734355395799e+17
10,3,0.3,6.213730843738158e+17,4.3818807185226445e+17,5.2532405348560275e+17
11,3,0.4,4.6677141725331546e+17,3.3087670731701606e+17,3.966513764020532e+17
12,4,0.1,1.9209664164059123e+18,1.3961158844848538e+18,1.558899271317294e+18
13,4,0.2,1.0060240765769604e+18,6.617534146340321e+17,7.935857625056385e+17
14,4,0.3,6.671782969850682e+17,4.4123104457346074e+17,5.253536235517424e+17
15,4,0.4,4.9916403614272435e+17,3.331744622289398e+17,3.9664910688814784e+17
16,5,0.1,1.8034571057635016e+18,1.3961158844848538e+18,1.5591298100949494e+18
17,5,0.2,9.881271349368091e+17,6.617534146340321e+17,7.944200741710431e+17
18,5,0.3,6.633307299213766e+17,4.4727530545802874e+17,5.329726609691524e+17
19,5,0.4,4.905850134063896e+17,3.331744622289398e+17,3.9715659915070317e+17
20,6,0.1,1.9329276725133338e+18,1.2790222941732209e+18,1.564915281489111e+18
21,6,0.2,1.0886040222514399e+18,6.617534146340321e+17,7.972799160126991e+17
22,6,0.3,7.316343314156705e+17,4.380213336209661e+17,5.3460075943449754e+17
23,6,0.4,5.444258738539842e+17,3.2964492117866515e+17,4.0273530249941805e+17
24,7,0.1,1.8856225584541376e+18,1.2790222941732209e+18,1.5638761782630326e+18
25,7,0.2,1.1112215730675301e+18,6.617534146340321e+17,7.968404620580742e+17
26,7,0.3,7.454000394903708e+17,4.380213336209661e+17,5.343313086277752e+17
27,7,0.4,5.565340925030728e+17,3.2964492117866515e+17,4.024923554895117e+17
