,0,1,2,3,4,5,6,Xt
0,317275,262339,303897,285934,281147,284093,287569,279111
1,262339,303897,285934,281147,284093,287569,279111,289561
2,303897,285934,281147,284093,287569,279111,289561,272678
3,285934,281147,284093,287569,279111,289561,272678,273248
4,281147,284093,287569,279111,289561,272678,273248,265615
5,284093,287569,279111,289561,272678,273248,265615,274568
6,287569,279111,289561,272678,273248,265615,274568,253150
7,279111,289561,272678,273248,265615,274568,253150,299033
8,289561,272678,273248,265615,274568,253150,299033,302836
9,272678,273248,265615,274568,253150,299033,302836,310396
10,273248,265615,274568,253150,299033,302836,310396,310153
11,265615,274568,253150,299033,302836,310396,310153,318991
12,274568,253150,299033,302836,310396,310153,318991,309053
13,253150,299033,302836,310396,310153,318991,309053,284192
14,299033,302836,310396,310153,318991,309053,284192,272415
15,302836,310396,310153,318991,309053,284192,272415,271185
16,310396,310153,318991,309053,284192,272415,271185,279096
17,310153,318991,309053,284192,272415,271185,279096,296158
18,318991,309053,284192,272415,271185,279096,296158,235122
19,309053,284192,272415,271185,279096,296158,235122,292010
20,284192,272415,271185,279096,296158,235122,292010,265822
21,272415,271185,279096,296158,235122,292010,265822,289106
22,271185,279096,296158,235122,292010,265822,289106,285572
23,279096,296158,235122,292010,265822,289106,285572,295338
24,296158,235122,292010,265822,289106,285572,295338,287633
25,235122,292010,265822,289106,285572,295338,287633,273698
26,292010,265822,289106,285572,295338,287633,273698,284594
27,265822,289106,285572,295338,287633,273698,284594,268189
28,289106,285572,295338,287633,273698,284594,268189,279359
29,285572,295338,287633,273698,284594,268189,279359,257536
30,295338,287633,273698,284594,268189,279359,257536,242560
31,287633,273698,284594,268189,279359,257536,242560,271697
32,273698,284594,268189,279359,257536,242560,271697,258417
33,284594,268189,279359,257536,242560,271697,258417,272766
34,268189,279359,257536,242560,271697,258417,272766,270684
35,279359,257536,242560,271697,258417,272766,270684,266782
36,257536,242560,271697,258417,272766,270684,266782,263945
37,242560,271697,258417,272766,270684,266782,263945,250160
38,271697,258417,272766,270684,266782,263945,250160,250303
39,258417,272766,270684,266782,263945,250160,250303,244987
40,272766,270684,266782,263945,250160,250303,244987,235120
41,270684,266782,263945,250160,250303,244987,235120,245715
42,266782,263945,250160,250303,244987,235120,245715,203162
43,263945,250160,250303,244987,235120,245715,203162,231414
44,250160,250303,244987,235120,245715,203162,231414,231621
45,250303,244987,235120,245715,203162,231414,231621,238809
46,244987,235120,245715,203162,231414,231621,238809,231912
47,235120,245715,203162,231414,231621,238809,231912,245724
